"","date","open","high","low","close"
"1",2020-10-28,0.71231,0.71572,0.70389,0.70546
"2",2020-10-29,0.70552,0.70756,0.7003,0.70376
"3",2020-10-30,0.70377,0.70723,0.70122,0.70283
"4",2020-11-01,0.70218,0.70247,0.699795,0.700705
"5",2020-11-02,0.70075,0.705785,0.699335,0.705305
"6",2020-11-03,0.705365,0.720525,0.70282,0.719595
"7",2020-11-04,0.719595,0.7222,0.70491,0.71803
"8",2020-11-05,0.71793,0.728945,0.714575,0.726225
"9",2020-11-06,0.726095,0.728745,0.724025,0.725825
"10",2020-11-08,0.727565,0.72898,0.7272,0.728625
"11",2020-11-09,0.728725,0.733975,0.726715,0.727935
"12",2020-11-10,0.727785,0.729425,0.725285,0.728155
"13",2020-11-11,0.728205,0.731795,0.726055,0.7283
"14",2020-11-12,0.72831,0.72939,0.72238,0.72399
"15",2020-11-13,0.72405,0.72732,0.72219,0.726985
"16",2020-11-16,0.72866,0.73255,0.728195,0.73199
"17",2020-11-17,0.731925,0.733925,0.72893,0.72969
"18",2020-11-18,0.729665,0.73296,0.7273,0.729845
"19",2020-11-19,0.729715,0.72998,0.72551,0.72684
"20",2020-11-20,0.726815,0.732355,0.726815,0.730365
"21",2020-11-22,0.730235,0.7315,0.73001,0.73131
"22",2020-11-23,0.73125,0.73366,0.72657,0.7295
"23",2020-11-24,0.72963,0.73676,0.72915,0.73666
"24",2020-11-25,0.73666,0.737345,0.73253,0.73641
"25",2020-11-26,0.736365,0.73747,0.73542,0.73567
"26",2020-11-27,0.73567,0.73988,0.735295,0.73853
"27",2020-11-29,0.738915,0.74044,0.73872,0.7401
"28",2020-11-30,0.74009,0.74054,0.73397,0.73589
"29",2020-12-01,0.736,0.73837,0.73428,0.738075
"30",2020-12-02,0.73808,0.74198,0.73517,0.74149
"31",2020-12-03,0.74139,0.74493,0.73982,0.74358
"32",2020-12-04,0.74362,0.74437,0.74104,0.742605
"33",2020-12-06,0.74316,0.74362,0.74289,0.74306
"34",2020-12-07,0.74305,0.74534,0.7373,0.74157
"35",2020-12-08,0.74155,0.74353,0.73995,0.74094
"36",2020-12-09,0.74094,0.74849,0.74087,0.74338
"37",2020-12-10,0.74338,0.754005,0.74338,0.75236
"38",2020-12-11,0.75235,0.75716,0.752055,0.752935
"39",2020-12-13,0.75407,0.754085,0.75368,0.7538
"40",2020-12-14,0.75378,0.75782,0.75286,0.75353
"41",2020-12-15,0.75355,0.75717,0.75076,0.75569
"42",2020-12-16,0.75576,0.75786,0.753955,0.75698
"43",2020-12-17,0.75693,0.76396,0.75683,0.76176
"44",2020-12-18,0.76194,0.7625,0.756,0.76221
"45",2020-12-20,0.75989,0.76064,0.7585,0.75876
"46",2020-12-21,0.75868,0.75994,0.74625,0.7576
"47",2020-12-22,0.75766,0.758335,0.75173,0.75545
"48",2020-12-23,0.75532,0.75913,0.75244,0.75823
"49",2020-12-24,0.75823,0.76067,0.75788,0.75951
"50",2020-12-25,0.75951,0.75951,0.75951,0.75951
"51",2020-12-27,0.75951,0.76127,0.75916,0.76106
"52",2020-12-28,0.76118,0.762255,0.75584,0.75878
"53",2020-12-29,0.75884,0.76247,0.75846,0.76096
"54",2020-12-30,0.76096,0.76907,0.760685,0.768855
"55",2020-12-31,0.76882,0.7742,0.768625,0.77019
"56",2021-01-01,0.77019,0.77019,0.77019,0.77019
"57",2021-01-03,0.77019,0.771435,0.76917,0.771135
"58",2021-01-04,0.77109,0.77406,0.76435,0.76698
"59",2021-01-05,0.76698,0.77775,0.76616,0.776235
"60",2021-01-06,0.77607,0.781955,0.77337,0.7816
"61",2021-01-07,0.7816,0.7816,0.77261,0.77687
"62",2021-01-08,0.77678,0.77987,0.7729,0.77633
"63",2021-01-10,0.77528,0.77621,0.77125,0.772075
"64",2021-01-11,0.772075,0.77304,0.76671,0.77075
"65",2021-01-12,0.77079,0.77775,0.76874,0.7776
"66",2021-01-13,0.77748,0.77815,0.77221,0.7747
"67",2021-01-14,0.77467,0.78052,0.77289,0.77763
"68",2021-01-15,0.777575,0.77889,0.76823,0.7703
"69",2021-01-17,0.770885,0.77106,0.76842,0.76842
"70",2021-01-18,0.76836,0.77035,0.76592,0.76849
"71",2021-01-19,0.76851,0.77251,0.76851,0.7714
"72",2021-01-20,0.77133,0.776355,0.77012,0.77545
"73",2021-01-21,0.7754,0.77819,0.77421,0.77599
"74",2021-01-22,0.77599,0.77687,0.77026,0.77147
"75",2021-01-24,0.77111,0.7721,0.770705,0.77134
"76",2021-01-25,0.7713,0.77473,0.768325,0.77153
"77",2021-01-26,0.77147,0.775425,0.76694,0.775335
"78",2021-01-27,0.77534,0.77637,0.764205,0.76486
"79",2021-01-28,0.76496,0.769775,0.75925,0.76711
"80",2021-01-29,0.76708,0.770405,0.763195,0.76437
"81",2021-01-31,0.76256,0.76304,0.76068,0.762105
"82",2021-02-01,0.76207,0.766275,0.761295,0.76338
"83",2021-02-02,0.763315,0.76618,0.756405,0.76071
"84",2021-02-03,0.76062,0.76372,0.76021,0.76363
"85",2021-02-04,0.76363,0.76477,0.75884,0.76006
"86",2021-02-05,0.76005,0.76785,0.75834,0.76777
"87",2021-02-07,0.76702,0.76819,0.76693,0.76786
"88",2021-02-08,0.767855,0.77192,0.76517,0.77184
"89",2021-02-09,0.771905,0.77431,0.77067,0.774
"90",2021-02-10,0.774005,0.77559,0.77175,0.7724
"91",2021-02-11,0.77239,0.77628,0.7713,0.77519
"92",2021-02-12,0.775195,0.77647,0.771845,0.77613
"93",2021-02-14,0.776415,0.77679,0.77601,0.77631
"94",2021-02-15,0.77632,0.77889,0.77596,0.77855
"95",2021-02-16,0.778555,0.780535,0.773065,0.77356
"96",2021-02-17,0.77357,0.7772,0.77245,0.77583
"97",2021-02-18,0.77582,0.77897,0.77313,0.776835
"98",2021-02-19,0.77683,0.78773,0.775775,0.78684
"99",2021-02-21,0.787225,0.78922,0.786725,0.78826
"100",2021-02-22,0.78827,0.79295,0.78555,0.79144
"101",2021-02-23,0.791435,0.79349,0.788075,0.790725
"102",2021-02-24,0.79073,0.79781,0.78954,0.7976
"103",2021-02-25,0.79759,0.80073,0.78589,0.78626
"104",2021-02-26,0.786265,0.7872,0.76925,0.77057
"105",2021-02-28,0.77128,0.77591,0.77092,0.77528
"106",2021-03-01,0.775285,0.7787,0.77218,0.77733
"107",2021-03-02,0.777325,0.78377,0.77365,0.78243
"108",2021-03-03,0.782435,0.78384,0.775285,0.77531
"109",2021-03-04,0.77532,0.78152,0.77047,0.77142
"110",2021-03-05,0.771425,0.7726,0.76242,0.768485
"111",2021-03-07,0.76935,0.772255,0.76931,0.77083
"112",2021-03-08,0.77082,0.77143,0.763635,0.76557
"113",2021-03-09,0.765575,0.772605,0.76215,0.77154
"114",2021-03-10,0.771535,0.77458,0.76687,0.77305
"115",2021-03-11,0.77304,0.77939,0.77234,0.77856
"116",2021-03-12,0.778555,0.78009,0.772455,0.77633
"117",2021-03-14,0.7753,0.77633,0.77481,0.77622
"118",2021-03-15,0.776225,0.77757,0.77059,0.77481
"119",2021-03-16,0.774805,0.775765,0.77109,0.774625
"120",2021-03-17,0.77463,0.78146,0.76993,0.78146
"121",2021-03-18,0.781465,0.78493,0.77495,0.77547
"122",2021-03-19,0.77506,0.77724,0.77177,0.7744
"123",2021-03-21,0.77117,0.77301,0.771165,0.77226
"124",2021-03-22,0.772265,0.77566,0.7705,0.77448
"125",2021-03-23,0.77447,0.77469,0.75992,0.760665
"126",2021-03-24,0.76067,0.76284,0.75795,0.759095
"127",2021-03-25,0.7591,0.76143,0.75632,0.75927
"128",2021-03-26,0.759285,0.76447,0.75879,0.7636
"129",2021-03-28,0.76382,0.764545,0.7632,0.76371
"130",2021-03-29,0.76372,0.76559,0.76153,0.76386
"131",2021-03-30,0.76385,0.76642,0.75849,0.76085
"132",2021-03-31,0.76083,0.763645,0.758885,0.7594
"133",2021-04-01,0.75942,0.762,0.75321,0.76173
"134",2021-04-02,0.76313,0.763775,0.75961,0.76103
"135",2021-04-04,0.76052,0.762125,0.76035,0.76196
"136",2021-04-05,0.761955,0.76606,0.759855,0.76574
"137",2021-04-06,0.76573,0.76685,0.7606,0.76664
"138",2021-04-07,0.766635,0.76771,0.76008,0.76136
"139",2021-04-08,0.76137,0.76606,0.76029,0.76567
"140",2021-04-09,0.76566,0.76613,0.75883,0.76231
"141",2021-04-11,0.762195,0.7628,0.761325,0.76216
"142",2021-04-12,0.76217,0.763575,0.75949,0.762745
"143",2021-04-13,0.76274,0.7653,0.75854,0.76473
"144",2021-04-14,0.76476,0.7738,0.76348,0.77249
"145",2021-04-15,0.772475,0.77612,0.77058,0.77514
"146",2021-04-16,0.775135,0.77592,0.772425,0.77334
"147",2021-04-18,0.77309,0.77327,0.771345,0.77135
"148",2021-04-19,0.771345,0.77847,0.77062,0.77649
"149",2021-04-20,0.776495,0.7816,0.77093,0.77223
"150",2021-04-21,0.772225,0.77624,0.76996,0.77543
"151",2021-04-22,0.775425,0.77648,0.76906,0.77042
"152",2021-04-23,0.77043,0.77605,0.770035,0.774145
"153",2021-04-25,0.77428,0.77531,0.77414,0.77425
"154",2021-04-26,0.77426,0.78152,0.77424,0.77969
"155",2021-04-27,0.779685,0.780385,0.776175,0.776755
"156",2021-04-28,0.77676,0.78063,0.772535,0.78012
"157",2021-04-29,0.780125,0.7818,0.77505,0.77773
"158",2021-04-30,0.777745,0.778425,0.76962,0.77129
"159",2021-05-02,0.77193,0.7723,0.77131,0.77203
"160",2021-05-03,0.77204,0.77669,0.77063,0.77584
"161",2021-05-04,0.77585,0.77611,0.76752,0.77135
"162",2021-05-05,0.77136,0.7755,0.77043,0.775125
"163",2021-05-06,0.77512,0.77885,0.77014,0.77871
"164",2021-05-07,0.778705,0.78625,0.77612,0.78459
"165",2021-05-09,0.785445,0.786245,0.78473,0.78584
"166",2021-05-10,0.78584,0.7891,0.78273,0.78405
"167",2021-05-11,0.78404,0.785675,0.78206,0.78378
"168",2021-05-12,0.78379,0.78425,0.772825,0.773225
"169",2021-05-13,0.773225,0.77463,0.76885,0.77239
"170",2021-05-14,0.7724,0.778755,0.77141,0.77778
"171",2021-05-16,0.777375,0.77839,0.77701,0.77785
