"","date","open","high","low","close"
"1",2020-10-28,1.17817,1.181,1.1718,1.17481
"2",2020-10-29,1.17484,1.17581,1.16504,1.16785
"3",2020-10-30,1.16785,1.17042,1.16404,1.16476
"4",2020-11-01,1.16471,1.16471,1.163905,1.16416
"5",2020-11-02,1.164145,1.175065,1.159925,1.16406
"6",2020-11-03,1.16405,1.17638,1.16346,1.176075
"7",2020-11-04,1.176075,1.179,1.160505,1.173245
"8",2020-11-05,1.17323,1.185955,1.17111,1.181695
"9",2020-11-06,1.181535,1.18804,1.179615,1.181245
"10",2020-11-08,1.186385,1.18826,1.184915,1.188135
"11",2020-11-09,1.188145,1.19086,1.179,1.18243
"12",2020-11-10,1.18236,1.18434,1.171,1.181845
"13",2020-11-11,1.181845,1.187375,1.17462,1.17795
"14",2020-11-12,1.177905,1.188615,1.17588,1.18042
"15",2020-11-13,1.180425,1.18372,1.17995,1.18343
"16",2020-11-16,1.18487,1.1907,1.181445,1.18595
"17",2020-11-17,1.185925,1.190745,1.18439,1.186375
"18",2020-11-18,1.186375,1.19,1.18464,1.18468
"19",2020-11-19,1.18464,1.191375,1.181925,1.18657
"20",2020-11-20,1.186605,1.190315,1.183675,1.18571
"21",2020-11-22,1.18577,1.1866,1.18561,1.18657
"22",2020-11-23,1.18653,1.19058,1.1801,1.18422
"23",2020-11-24,1.18431,1.194625,1.18388,1.18976
"24",2020-11-25,1.18976,1.196705,1.18821,1.19165
"25",2020-11-26,1.19165,1.19407,1.18854,1.19111
"26",2020-11-27,1.19111,1.19634,1.19096,1.19633
"27",2020-11-29,1.19647,1.19739,1.19638,1.19717
"28",2020-11-30,1.19717,1.20031,1.19241,1.19376
"29",2020-12-01,1.19376,1.20766,1.19357,1.20708
"30",2020-12-02,1.20707,1.21185,1.20405,1.21142
"31",2020-12-03,1.21141,1.21746,1.21012,1.21435
"32",2020-12-04,1.21449,1.21774,1.21108,1.21212
"33",2020-12-06,1.21212,1.21319,1.21199,1.21203
"34",2020-12-07,1.21203,1.21639,1.20791,1.213465
"35",2020-12-08,1.213405,1.21467,1.19316,1.21097
"36",2020-12-09,1.21097,1.21416,1.19207,1.20786
"37",2020-12-10,1.20786,1.2158,1.206955,1.21436
"38",2020-12-11,1.21435,1.21628,1.21056,1.21131
"39",2020-12-13,1.21397,1.21397,1.21331,1.21335
"40",2020-12-14,1.21333,1.21953,1.19,1.20946
