"","date","open","high","low","close"
"1",2020-10-28,1.30306,1.30633,1.29173,1.29892
"2",2020-10-29,1.29891,1.30247,1.28815,1.29312
"3",2020-10-30,1.29313,1.29881,1.28995,1.29516
"4",2020-11-01,1.293205,1.293885,1.292115,1.292575
"5",2020-11-02,1.292635,1.294295,1.285545,1.2922
"6",2020-11-03,1.292195,1.312885,1.291555,1.311905
"7",2020-11-04,1.312035,1.314015,1.289335,1.296635
"8",2020-11-05,1.296575,1.31571,1.294055,1.313855
"9",2020-11-06,1.313725,1.317685,1.309255,1.31533
"10",2020-11-08,1.31555,1.31823,1.31535,1.317915
"11",2020-11-09,1.317855,1.32083,1.3119,1.316895
"12",2020-11-10,1.316885,1.34108,1.315745,1.326065
"13",2020-11-11,1.32618,1.34501,1.319225,1.32236
"14",2020-11-12,1.32237,1.322815,1.314975,1.315725
"15",2020-11-13,1.315725,1.32004,1.315135,1.319715
"16",2020-11-16,1.321655,1.32425,1.317955,1.32213
"17",2020-11-17,1.32215,1.32721,1.319455,1.325675
"18",2020-11-18,1.325675,1.33661,1.324425,1.325315
"19",2020-11-19,1.325185,1.327935,1.31977,1.3248
"20",2020-11-20,1.324775,1.329575,1.324775,1.32878
"21",2020-11-22,1.32944,1.33049,1.32928,1.33035
"22",2020-11-23,1.33035,1.33976,1.32648,1.33267
"23",2020-11-24,1.33267,1.33802,1.31323,1.33619
"24",2020-11-25,1.33619,1.33934,1.31421,1.33837
"25",2020-11-26,1.33837,1.33979,1.313175,1.33535
"26",2020-11-27,1.33538,1.33811,1.32908,1.3314
"27",2020-11-29,1.3324,1.33347,1.33222,1.33317
"28",2020-11-30,1.33316,1.3456,1.311485,1.33357
"29",2020-12-01,1.33366,1.34399,1.316245,1.34218
"30",2020-12-02,1.34219,1.34412,1.313655,1.33686
"31",2020-12-03,1.33686,1.34999,1.31786,1.34493
"32",2020-12-04,1.34512,1.35387,1.34152,1.3438
"33",2020-12-06,1.34135,1.34218,1.34126,1.34156
"34",2020-12-07,1.3415,1.34365,1.3144,1.33559
"35",2020-12-08,1.33546,1.33866,1.323865,1.33652
"36",2020-12-09,1.3365,1.34775,1.32542,1.3366
"37",2020-12-10,1.33657,1.33895,1.320935,1.33023
"38",2020-12-11,1.33023,1.33246,1.31364,1.32334
"39",2020-12-13,1.33432,1.33457,1.33158,1.33174
"40",2020-12-14,1.33169,1.34444,1.32733,1.33258
"41",2020-12-15,1.3325,1.34693,1.32821,1.34464
"42",2020-12-16,1.3447,1.35507,1.33641,1.35024
"43",2020-12-17,1.35015,1.36243,1.335405,1.3579
"44",2020-12-18,1.35712,1.35719,1.332135,1.332135
"45",2020-12-20,1.34359,1.34423,1.3396,1.34014
"46",2020-12-21,1.34008,1.34093,1.32034,1.336425
"47",2020-12-22,1.33645,1.34495,1.329,1.34018
"48",2020-12-23,1.34013,1.35689,1.332075,1.35132
"49",2020-12-24,1.35132,1.36193,1.338435,1.338435
"50",2020-12-25,1.338435,1.338435,1.338435,1.338435
"51",2020-12-27,1.35511,1.35728,1.35464,1.35701
"52",2020-12-28,1.3572,1.3575,1.33372,1.34652
"53",2020-12-29,1.34648,1.3523,1.336075,1.34976
"54",2020-12-30,1.34977,1.36298,1.342175,1.36294
"55",2020-12-31,1.36295,1.36856,1.344655,1.344655
"56",2021-01-01,1.344655,1.344655,1.344655,1.344655
"57",2021-01-03,1.36579,1.36835,1.36558,1.36809
"58",2021-01-04,1.36821,1.38398,1.334765,1.35713
"59",2021-01-05,1.35712,1.36411,1.3375,1.36271
"60",2021-01-06,1.36271,1.36708,1.33656,1.3624
"61",2021-01-07,1.36241,1.36333,1.33442,1.3569
"62",2021-01-08,1.35677,1.36358,1.35395,1.35656
"63",2021-01-10,1.334395,1.35679,1.33435,1.35191
"64",2021-01-11,1.35191,1.3535,1.33192,1.35236
"65",2021-01-12,1.35243,1.367,1.33941,1.36675
"66",2021-01-13,1.36677,1.388085,1.33805,1.36477
"67",2021-01-14,1.36474,1.37093,1.36167,1.36831
"68",2021-01-15,1.36825,1.36981,1.35729,1.35836
"69",2021-01-17,1.35887,1.35986,1.35699,1.35699
"70",2021-01-18,1.35707,1.35897,1.35205,1.35823
"71",2021-01-19,1.35827,1.3647,1.35818,1.36436
"72",2021-01-20,1.36436,1.37165,1.36241,1.36673
"73",2021-01-21,1.36668,1.37458,1.36595,1.37288
"74",2021-01-22,1.37288,1.37359,1.36373,1.3683
"75",2021-01-24,1.36838,1.36912,1.36788,1.36857
"76",2021-01-25,1.36857,1.37233,1.36493,1.36768
"77",2021-01-26,1.36768,1.37443,1.36103,1.37412
"78",2021-01-27,1.37414,1.37589,1.36598,1.36709
"79",2021-01-28,1.36713,1.37457,1.36308,1.37247
"80",2021-01-29,1.37247,1.37513,1.36632,1.37019
"81",2021-01-31,1.37053,1.37077,1.36948,1.36977
"82",2021-02-01,1.36977,1.37579,1.36572,1.36759
"83",2021-02-02,1.36751,1.37104,1.36122,1.36593
"84",2021-02-03,1.36593,1.38643,1.36196,1.36498
"85",2021-02-04,1.36498,1.36976,1.35669,1.36722
"86",2021-02-05,1.36722,1.374,1.36666,1.37359
"87",2021-02-07,1.37282,1.374,1.37255,1.37381
"88",2021-02-08,1.37381,1.37575,1.36822,1.37564
"89",2021-02-09,1.3757,1.38202,1.37489,1.38156
"90",2021-02-10,1.38157,1.38662,1.38027,1.38308
"91",2021-02-11,1.38309,1.3831,1.38016,1.38114
"92",2021-02-12,1.38115,1.38626,1.37759,1.38533
"93",2021-02-14,1.38534,1.3871,1.38508,1.38691
"94",2021-02-15,1.38692,1.39192,1.38658,1.39141
"95",2021-02-16,1.3914,1.39518,1.38694,1.38854
"96",2021-02-17,1.38853,1.39039,1.38297,1.38662
"97",2021-02-18,1.38661,1.39862,1.38399,1.39675
"98",2021-02-19,1.39674,1.40357,1.39516,1.40093
"99",2021-02-21,1.40183,1.40316,1.40067,1.40275
"100",2021-02-22,1.40276,1.40868,1.39808,1.40679
"101",2021-02-23,1.40678,1.41208,1.40546,1.41193
"102",2021-02-24,1.41194,1.42406,1.40824,1.41466
"103",2021-02-25,1.41465,1.4182,1.40005,1.40038
"104",2021-02-26,1.40037,1.40219,1.38883,1.3925
"105",2021-02-28,1.39341,1.39797,1.39309,1.3974
"106",2021-03-01,1.39741,1.39992,1.39042,1.39291
"107",2021-03-02,1.3929,1.3977,1.38592,1.39542
"108",2021-03-03,1.39543,1.40062,1.39209,1.39213
"109",2021-03-04,1.39214,1.40172,1.38805,1.38937
"110",2021-03-05,1.38936,1.39067,1.37792,1.38426
"111",2021-03-07,1.38126,1.38656,1.38126,1.3851
"112",2021-03-08,1.38511,1.38593,1.38004,1.38219
"113",2021-03-09,1.3822,1.39255,1.3802,1.38875
"114",2021-03-10,1.38874,1.39383,1.38457,1.39304
"115",2021-03-11,1.39303,1.39955,1.3919,1.39879
"116",2021-03-12,1.39878,1.4005,1.38636,1.3923
"117",2021-03-14,1.39198,1.39321,1.39178,1.39299
"118",2021-03-15,1.393,1.39498,1.38532,1.38985
"119",2021-03-16,1.38986,1.39063,1.38093,1.39024
"120",2021-03-17,1.39023,1.39763,1.38512,1.39756
"121",2021-03-18,1.39756,1.40017,1.38975,1.39245
"122",2021-03-19,1.39241,1.39594,1.38306,1.38677
"123",2021-03-21,1.38414,1.38496,1.38297,1.38336
"124",2021-03-22,1.38337,1.3877,1.3818,1.38593
"125",2021-03-23,1.38594,1.38625,1.3724,1.37315
