"","date","open","high","low","close"
"1",2020-10-28,1.3192,1.3334,1.31801,1.3311
"2",2020-10-29,1.33113,1.33899,1.32784,1.33155
"3",2020-10-30,1.33157,1.33485,1.32804,1.33216
"4",2020-11-01,1.332075,1.336995,1.331755,1.336975
"5",2020-11-02,1.336925,1.33694,1.321635,1.322105
"6",2020-11-03,1.3221,1.32339,1.31001,1.310365
"7",2020-11-04,1.310345,1.328985,1.309595,1.31273
"8",2020-11-05,1.312755,1.317735,1.302895,1.308385
"9",2020-11-06,1.30839,1.30965,1.301985,1.30752
"10",2020-11-08,1.304635,1.304845,1.30194,1.30237
"11",2020-11-09,1.30238,1.304495,1.292925,1.30079
"12",2020-11-10,1.30079,1.305025,1.298665,1.303155
"13",2020-11-11,1.303125,1.30771,1.300935,1.30591
"14",2020-11-12,1.30594,1.314885,1.305665,1.313785
"15",2020-11-13,1.313785,1.31721,1.31166,1.31362
"16",2020-11-16,1.31024,1.31244,1.30658,1.307565
"17",2020-11-17,1.307565,1.311635,1.306395,1.310565
"18",2020-11-18,1.310565,1.311785,1.303455,1.308735
"19",2020-11-19,1.308885,1.312345,1.305285,1.308775
"20",2020-11-20,1.308775,1.309695,1.303975,1.309325
"21",2020-11-22,1.308885,1.309435,1.308175,1.308505
"22",2020-11-23,1.308555,1.311265,1.304645,1.30749
"23",2020-11-24,1.307405,1.309005,1.299485,1.299595
"24",2020-11-25,1.299595,1.30289,1.298725,1.300265
"25",2020-11-26,1.300345,1.302325,1.299135,1.302125
"26",2020-11-27,1.302115,1.30252,1.297235,1.29906
"27",2020-11-29,1.298555,1.298605,1.29779,1.298405
"28",2020-11-30,1.298385,1.30101,1.292465,1.299215
"29",2020-12-01,1.29913,1.299145,1.292995,1.29338
"30",2020-12-02,1.293365,1.295845,1.291065,1.291765
"31",2020-12-03,1.291765,1.294125,1.285255,1.28679
"32",2020-12-04,1.28683,1.287405,1.277275,1.278415
"33",2020-12-06,1.27825,1.278905,1.27787,1.278205
"34",2020-12-07,1.278215,1.28327,1.277815,1.280375
"35",2020-12-08,1.280475,1.282545,1.27685,1.281655
"36",2020-12-09,1.281665,1.283275,1.277135,1.28276
"37",2020-12-10,1.282765,1.282775,1.270765,1.274165
"38",2020-12-11,1.274185,1.279125,1.271975,1.276925
"39",2020-12-13,1.275395,1.275425,1.274535,1.27513
"40",2020-12-14,1.275145,1.27897,1.272045,1.276155
"41",2020-12-15,1.276145,1.277155,1.268845,1.27003
"42",2020-12-16,1.26997,1.278945,1.26996,1.274775
"43",2020-12-17,1.27478,1.275045,1.26896,1.272665
"44",2020-12-18,1.273035,1.279855,1.272905,1.27847
"45",2020-12-20,1.279215,1.281155,1.278935,1.281075
"46",2020-12-21,1.28107,1.295365,1.280795,1.28529
"47",2020-12-22,1.285275,1.297795,1.284145,1.289285
"48",2020-12-23,1.289365,1.291485,1.283445,1.284445
"49",2020-12-24,1.284435,1.286945,1.281345,1.285565
"50",2020-12-25,1.285565,1.285565,1.285565,1.285565
"51",2020-12-27,1.285595,1.286015,1.28333,1.284115
"52",2020-12-28,1.283955,1.287605,1.281465,1.284345
"53",2020-12-29,1.284335,1.284385,1.278035,1.282255
"54",2020-12-30,1.282255,1.282745,1.27499,1.275145
"55",2020-12-31,1.275155,1.276965,1.271435,1.27252
"56",2021-01-01,1.27252,1.27252,1.27252,1.27252
"57",2021-01-03,1.27339,1.27358,1.272165,1.272395
"58",2021-01-04,1.272445,1.27969,1.266565,1.278175
"59",2021-01-05,1.278175,1.27899,1.265625,1.267645
"60",2021-01-06,1.267645,1.272365,1.266185,1.266555
