"","date","open","high","low","close"
"1",2020-10-28,104.548,104.55,104.118,104.322
"2",2020-10-29,104.313,104.711,104.027,104.56
"3",2020-10-30,104.56,104.744,104.139,104.667
"4",2020-11-01,104.632,104.6905,104.564,104.5785
"5",2020-11-02,104.605,104.9485,104.6,104.725
"6",2020-11-03,104.722,104.817,104.446,104.559
"7",2020-11-04,104.546,105.3405,104.156,104.4415
"8",2020-11-05,104.4295,104.4665,103.4465,103.619
"9",2020-11-06,103.616,103.7595,103.1795,103.359
"10",2020-11-08,103.249,103.3045,103.197,103.2585
"11",2020-11-09,103.2595,105.646,102.294,105.1465
"12",2020-11-10,105.1465,105.489,103.946,105.267
"13",2020-11-11,105.258,105.6755,103.6565,105.4115
"14",2020-11-12,105.4185,105.4775,103.983,105.0995
"15",2020-11-13,105.1,105.1495,104.566,104.628
"16",2020-11-16,104.4865,105.1305,102.8715,104.532
"17",2020-11-17,104.532,104.568,102.724,104.177
"18",2020-11-18,104.178,104.178,102.5425,103.895
"19",2020-11-19,103.896,104.206,102.4965,103.8185
"20",2020-11-20,103.8095,103.911,103.705,103.862
"21",2020-11-22,103.8155,103.862,103.808,103.8205
"22",2020-11-23,103.8235,104.6355,102.9415,104.5375
"23",2020-11-24,104.5225,104.7555,102.9005,104.5135
"24",2020-11-25,104.5135,104.5995,102.9085,104.4055
"25",2020-11-26,104.3995,104.3995,102.809,104.2585
"26",2020-11-27,104.2625,104.2715,102.7165,102.7165
"27",2020-11-29,104.0735,104.16,104.0315,104.09
"28",2020-11-30,104.0875,104.4095,102.8375,104.307
"29",2020-12-01,104.2965,104.579,102.839,104.3015
"30",2020-12-02,104.2955,104.7495,102.887,104.4505
"31",2020-12-03,104.4505,104.5345,102.5975,103.8345
"32",2020-12-04,103.8345,104.2435,103.7455,104.187
"33",2020-12-06,104.141,104.2385,104.1275,104.2085
"34",2020-12-07,104.2075,104.3125,102.705,104.0145
"35",2020-12-08,104.01,104.2065,102.759,104.1425
"36",2020-12-09,104.1425,104.4065,102.786,104.2855
"37",2020-12-10,104.2895,104.578,102.8035,104.1825
"38",2020-12-11,104.1805,104.1805,102.7,102.7
"39",2020-12-13,103.8865,104.0135,103.8765,103.9665
"40",2020-12-14,103.967,104.0995,102.7035,104.0085
"41",2020-12-15,104.0125,104.1515,102.5175,103.65
"42",2020-12-16,103.6495,103.9165,102.4175,103.4765
"43",2020-12-17,103.4765,103.5565,102.2305,103.1235
